transaction_id,timestamp,product_category,price,quantity,discount_applied
T00001,2026-02-21T18:12:17.163Z,Espresso,3.51,1,FALSE
T00002,2026-01-02T15:31:35.336Z,Merch,24.60,4,FALSE
T00003,2026-02-13T19:10:30.725Z,Pour Over,5.62,2,FALSE
T00004,2025-12-13T03:53:47.555Z,Espresso,3.72,2,TRUE
T00005,2026-03-04T22:14:40.503Z,Cold Brew,4.23,4,FALSE
T00006,2026-01-14T19:48:36.838Z,Cold Brew,5.21,1,FALSE
T00007,2026-01-16T19:49:45.989Z,Pour Over,4.62,4,FALSE
T00008,2026-02-18T12:07:18.593Z,Pour Over,5.79,1,FALSE
T00009,2026-02-08T23:46:10.700Z,Pastry,4.66,1,FALSE
T00010,2026-02-11T10:45:19.269Z,Espresso,3.42,3,FALSE
T00011,2026-02-10T11:44:05.962Z,Espresso,3.03,2,FALSE
T00012,2026-01-19T04:01:00.270Z,Espresso,4.34,2,FALSE
T00013,2025-12-25T15:08:57.982Z,Pour Over,4.98,3,FALSE
T00014,2026-03-06T04:28:28.052Z,Pastry,3.57,2,FALSE
T00015,2025-12-17T16:56:29.164Z,Cold Brew,5.36,1,FALSE
T00016,2026-02-13T07:56:54.227Z,Merch,24.63,4,TRUE
T00017,2025-12-09T23:25:41.336Z,Cold Brew,4.19,2,FALSE
T00018,2025-12-22T16:31:53.785Z,Espresso,4.03,1,FALSE
T00019,2026-01-11T19:40:02.324Z,Pour Over,5.55,1,FALSE
T00020,2026-01-28T11:30:10.903Z,Pastry,3.54,2,TRUE
T00021,2026-02-15T00:24:13.629Z,Pour Over,5.83,1,FALSE
T00022,2026-03-06T08:06:37.867Z,Merch,25.60,2,FALSE
T00023,2026-02-07T14:40:41.960Z,Pastry,4.24,2,FALSE
T00024,2026-01-05T07:27:05.609Z,Espresso,3.11,2,FALSE
T00025,2026-01-08T00:20:17.522Z,Espresso,3.76,1,FALSE
T00026,2026-02-07T20:20:32.802Z,Merch,25.63,1,FALSE
T00027,2026-02-14T14:42:08.858Z,Merch,24.50,4,FALSE
T00028,2026-02-18T18:00:47.370Z,Merch,25.04,2,FALSE
T00029,2026-02-19T15:10:06.106Z,Merch,24.52,4,FALSE
T00030,2025-12-16T22:39:43.088Z,Cold Brew,5.42,1,FALSE
T00031,2026-02-20T22:50:15.421Z,Pour Over,5.82,1,FALSE
T00032,2025-12-12T06:38:11.539Z,Pastry,4.94,2,TRUE
T00033,2026-02-18T12:29:52.728Z,Cold Brew,4.16,4,FALSE
T00034,2026-02-26T21:33:39.601Z,Pastry,4.92,1,FALSE
T00035,2026-03-06T08:36:14.652Z,Espresso,4.48,1,FALSE
T00036,2025-12-28T11:29:45.899Z,Pastry,3.94,3,TRUE
T00037,2026-02-10T19:28:56.034Z,Cold Brew,4.22,3,FALSE
T00038,2025-12-21T06:22:13.401Z,Cold Brew,5.22,1,FALSE
T00039,2025-12-13T11:24:18.125Z,Pour Over,4.54,4,FALSE
T00040,2025-12-30T21:12:06.346Z,Cold Brew,4.27,4,FALSE
T00041,2025-12-18T23:32:33.335Z,Pastry,4.87,1,TRUE
T00042,2026-02-26T21:07:22.253Z,Espresso,3.36,2,FALSE
T00043,2026-02-24T19:55:48.621Z,Pastry,3.95,3,TRUE
T00044,2025-12-25T09:32:48.642Z,Cold Brew,5.37,1,FALSE
T00045,2026-02-14T01:29:10.555Z,Merch,24.66,3,TRUE
T00046,2025-12-30T07:24:15.644Z,Pour Over,5.26,2,FALSE
T00047,2026-01-02T18:44:30.835Z,Pastry,4.40,1,FALSE
T00048,2026-02-04T06:58:16.038Z,Pastry,4.53,1,FALSE
T00049,2026-01-22T17:55:09.934Z,Merch,25.26,2,FALSE
T00050,2026-01-23T18:17:46.133Z,Pour Over,5.80,2,FALSE
T00051,2025-12-16T10:53:01.438Z,Pour Over,5.03,2,FALSE
T00052,2025-12-27T18:03:27.174Z,Cold Brew,4.32,3,FALSE
T00053,2026-02-11T05:37:55.676Z,Pour Over,5.56,2,FALSE
T00054,2025-12-11T09:44:14.458Z,Pastry,4.03,1,FALSE
T00055,2026-01-24T18:08:21.117Z,Merch,25.54,1,TRUE
T00056,2026-01-20T22:22:09.098Z,Merch,25.08,2,FALSE
T00057,2026-01-06T21:42:03.021Z,Merch,25.98,2,FALSE
T00058,2026-03-01T01:10:36.218Z,Pastry,4.91,1,FALSE
T00059,2026-01-30T09:46:59.258Z,Merch,25.23,1,FALSE
T00060,2025-12-12T14:54:48.599Z,Espresso,4.48,2,FALSE
T00061,2026-02-12T23:25:25.936Z,Pastry,4.37,2,FALSE
T00062,2026-01-30T18:42:01.110Z,Espresso,4.22,1,TRUE
T00063,2025-12-14T10:44:27.133Z,Pastry,3.72,2,FALSE
T00064,2026-01-03T14:25:43.484Z,Pour Over,5.98,1,FALSE
T00065,2026-01-11T10:32:50.112Z,Pour Over,5.45,1,FALSE
T00066,2025-12-11T16:30:01.261Z,Merch,25.45,2,FALSE
T00067,2025-12-15T05:30:12.930Z,Pastry,3.74,2,FALSE
T00068,2025-12-13T20:42:45.704Z,Cold Brew,5.24,1,FALSE
T00069,2026-02-11T18:08:53.880Z,Pastry,4.22,2,FALSE
T00070,2026-01-01T20:06:44.004Z,Pastry,3.61,4,FALSE
T00071,2026-02-09T15:22:45.641Z,Espresso,4.44,1,FALSE
T00072,2026-02-22T17:58:26.750Z,Cold Brew,4.21,4,FALSE
T00073,2026-03-07T11:45:20.144Z,Espresso,4.26,2,FALSE
T00074,2026-03-08T16:04:17.535Z,Pastry,3.82,3,FALSE
T00075,2026-01-28T11:33:51.327Z,Pour Over,5.64,1,FALSE
T00076,2026-01-28T16:17:07.278Z,Espresso,3.88,1,TRUE
T00077,2026-02-01T04:04:48.519Z,Espresso,3.75,2,FALSE
T00078,2026-03-03T11:15:08.744Z,Pastry,3.69,3,FALSE
T00079,2026-02-21T14:08:59.616Z,Cold Brew,5.16,1,FALSE
T00080,2025-12-26T06:55:38.403Z,Pastry,4.60,1,FALSE
T00081,2026-02-13T21:28:16.993Z,Espresso,4.10,2,TRUE
T00082,2026-01-11T10:50:37.228Z,Merch,24.60,2,FALSE
T00083,2026-01-01T11:40:31.563Z,Espresso,3.31,2,TRUE
T00084,2026-01-18T22:48:43.594Z,Cold Brew,4.60,1,TRUE
T00085,2026-01-01T18:30:55.607Z,Merch,24.76,3,FALSE
T00086,2026-01-27T02:46:16.406Z,Espresso,3.01,3,FALSE
T00087,2026-03-05T11:41:40.208Z,Merch,25.26,2,TRUE
T00088,2026-02-28T00:36:18.604Z,Pour Over,5.63,1,FALSE
T00089,2026-02-05T07:19:50.776Z,Pastry,4.25,1,FALSE
T00090,2026-02-25T06:41:33.050Z,Merch,25.23,2,FALSE
T00091,2025-12-10T04:49:45.387Z,Cold Brew,5.10,1,TRUE
T00092,2025-12-15T14:16:51.731Z,Espresso,3.07,4,FALSE
T00093,2025-12-15T02:26:32.405Z,Pour Over,4.77,3,FALSE
T00094,2025-12-23T21:33:25.129Z,Merch,25.65,2,FALSE
T00095,2026-01-22T16:03:26.444Z,Espresso,4.35,1,FALSE
T00096,2026-01-21T13:13:24.772Z,Cold Brew,5.05,2,FALSE
T00097,2026-01-19T19:47:22.798Z,Pour Over,4.69,4,FALSE
T00098,2025-12-29T09:05:39.925Z,Merch,24.51,4,FALSE
T00099,2026-02-10T19:18:56.929Z,Merch,25.36,2,FALSE
T00100,2026-02-17T23:45:46.998Z,Merch,24.94,3,FALSE
T00101,2026-02-12T07:54:07.159Z,Pour Over,5.02,2,FALSE
T00102,2026-03-05T02:08:57.359Z,Pour Over,5.58,1,TRUE
T00103,2026-01-31T10:14:42.696Z,Merch,24.97,4,FALSE
T00104,2025-12-11T06:13:19.669Z,Pour Over,4.78,2,TRUE
T00105,2026-03-05T15:13:25.068Z,Pastry,3.99,4,FALSE
T00106,2026-03-04T01:08:16.726Z,Cold Brew,4.25,4,FALSE
T00107,2026-01-24T01:50:14.004Z,Pastry,4.65,2,TRUE
T00108,2026-02-06T15:39:26.202Z,Espresso,3.15,2,TRUE
T00109,2026-01-04T03:10:35.532Z,Pastry,4.50,2,FALSE
T00110,2026-01-31T02:51:06.878Z,Merch,24.73,3,FALSE
T00111,2026-01-09T23:36:23.857Z,Espresso,3.37,2,FALSE
T00112,2025-12-30T00:49:44.813Z,Pastry,4.37,1,FALSE
T00113,2026-01-18T08:34:36.912Z,Pour Over,5.52,1,TRUE
T00114,2025-12-16T01:40:08.793Z,Pastry,3.63,4,FALSE
T00115,2026-01-17T03:45:29.209Z,Espresso,3.25,4,FALSE
T00116,2026-01-20T12:43:37.452Z,Pastry,3.61,4,FALSE
T00117,2026-02-24T22:09:06.776Z,Cold Brew,5.32,1,TRUE
T00118,2026-02-09T22:05:33.820Z,Merch,24.92,4,FALSE
T00119,2025-12-23T14:56:19.061Z,Merch,25.17,1,FALSE
T00120,2026-01-07T17:41:52.141Z,Cold Brew,5.02,1,FALSE
T00121,2026-01-09T22:22:14.591Z,Cold Brew,5.41,2,FALSE
T00122,2026-01-26T20:08:02.877Z,Cold Brew,5.14,2,FALSE
T00123,2025-12-13T08:07:51.115Z,Espresso,4.27,1,FALSE
T00124,2026-02-01T03:29:50.271Z,Pour Over,5.16,2,FALSE
T00125,2026-02-18T09:53:21.528Z,Merch,25.72,1,FALSE
T00126,2025-12-18T07:39:18.175Z,Pour Over,4.56,2,FALSE
T00127,2026-02-07T19:34:40.995Z,Merch,25.54,2,FALSE
T00128,2026-02-03T11:30:42.285Z,Espresso,3.18,3,FALSE
T00129,2026-02-27T06:43:14.338Z,Espresso,3.97,1,FALSE
T00130,2026-03-04T10:29:03.315Z,Espresso,4.15,1,FALSE
T00131,2026-01-17T20:26:25.658Z,Pastry,3.66,2,TRUE
T00132,2026-02-12T04:49:06.520Z,Pour Over,5.70,1,FALSE
T00133,2026-01-19T01:31:52.862Z,Cold Brew,5.35,2,FALSE
T00134,2026-02-15T09:25:57.498Z,Pastry,3.77,4,TRUE
T00135,2026-02-25T13:38:40.692Z,Espresso,3.85,2,FALSE
T00136,2025-12-24T02:50:46.392Z,Cold Brew,4.96,1,FALSE
T00137,2026-03-06T23:33:19.033Z,Espresso,3.13,4,FALSE
T00138,2026-01-05T00:00:34.766Z,Pour Over,5.15,1,TRUE
T00139,2026-02-16T20:09:59.157Z,Espresso,4.37,1,TRUE
T00140,2026-02-04T23:58:52.663Z,Espresso,3.35,4,FALSE
T00141,2025-12-30T12:07:09.071Z,Cold Brew,5.09,2,FALSE
T00142,2026-03-02T09:12:08.372Z,Pour Over,5.49,2,FALSE
T00143,2026-01-05T13:44:09.483Z,Pour Over,5.33,2,TRUE
T00144,2025-12-19T05:58:23.957Z,Espresso,4.08,2,FALSE
T00145,2025-12-14T08:21:41.990Z,Cold Brew,5.03,1,TRUE
T00146,2026-02-08T02:51:58.238Z,Pour Over,5.54,2,TRUE
T00147,2025-12-21T03:23:03.099Z,Merch,25.95,2,FALSE
T00148,2025-12-19T00:32:01.540Z,Pastry,4.47,1,TRUE
T00149,2025-12-31T18:07:40.351Z,Merch,25.27,2,FALSE
T00150,2026-01-03T06:00:11.177Z,Pastry,4.80,2,FALSE
T00151,2026-02-20T04:12:49.206Z,Pastry,4.75,1,FALSE
T00152,2026-02-13T10:49:15.644Z,Espresso,3.82,2,FALSE
T00153,2026-02-08T00:08:21.344Z,Pastry,4.84,1,FALSE
T00154,2026-02-11T13:06:33.213Z,Pour Over,5.07,1,TRUE
T00155,2026-01-12T14:16:19.704Z,Pastry,3.92,3,FALSE
T00156,2026-02-16T20:57:10.525Z,Espresso,3.91,2,TRUE
T00157,2026-02-27T01:15:08.936Z,Merch,24.74,4,TRUE
T00158,2026-02-26T00:43:52.787Z,Pastry,4.23,2,FALSE
T00159,2026-01-11T20:36:51.138Z,Cold Brew,5.41,2,FALSE
T00160,2026-01-01T23:48:50.977Z,Pastry,3.83,4,FALSE
T00161,2026-01-04T16:33:08.969Z,Espresso,3.09,2,FALSE
T00162,2026-02-20T03:08:37.861Z,Pour Over,4.71,3,FALSE
T00163,2025-12-16T11:41:09.046Z,Cold Brew,4.57,2,TRUE
T00164,2026-01-10T07:25:30.901Z,Merch,25.54,2,TRUE
T00165,2025-12-11T04:07:30.558Z,Pastry,4.29,1,FALSE
T00166,2026-01-19T14:08:25.035Z,Pour Over,5.57,1,TRUE
T00167,2026-02-02T15:09:57.536Z,Merch,25.28,2,FALSE
T00168,2025-12-21T07:54:52.150Z,Espresso,4.05,2,FALSE
T00169,2026-02-17T07:38:30.614Z,Espresso,3.27,4,FALSE
T00170,2026-02-16T00:35:12.538Z,Pastry,4.89,2,FALSE
T00171,2026-02-16T07:32:00.645Z,Merch,24.65,3,FALSE
T00172,2026-02-27T06:37:08.073Z,Pour Over,5.29,2,FALSE
T00173,2026-01-12T04:40:31.554Z,Pour Over,5.49,2,FALSE
T00174,2025-12-13T05:35:28.708Z,Cold Brew,4.37,2,FALSE
T00175,2025-12-24T16:41:15.412Z,Merch,25.10,1,FALSE
T00176,2026-01-24T04:35:21.486Z,Pastry,4.81,1,FALSE
T00177,2025-12-12T09:10:53.817Z,Pour Over,5.64,2,FALSE
T00178,2026-02-12T12:09:41.245Z,Pastry,4.88,1,FALSE
T00179,2026-01-09T05:15:52.423Z,Cold Brew,4.80,2,TRUE
T00180,2026-01-23T21:13:21.429Z,Merch,24.98,3,FALSE
T00181,2026-02-22T22:20:15.470Z,Espresso,3.08,3,FALSE
T00182,2026-01-28T23:14:06.273Z,Pastry,4.21,1,FALSE
T00183,2026-02-21T17:38:36.188Z,Pastry,3.54,2,TRUE
T00184,2026-02-17T12:01:15.123Z,Espresso,3.06,2,FALSE
T00185,2026-02-16T21:16:05.325Z,Pastry,4.08,2,FALSE
T00186,2026-02-04T16:57:16.300Z,Espresso,3.93,2,FALSE
T00187,2026-01-19T18:24:00.121Z,Pour Over,5.74,1,FALSE
T00188,2026-01-06T03:09:49.270Z,Cold Brew,4.97,1,TRUE
T00189,2025-12-13T23:06:03.555Z,Cold Brew,4.91,2,FALSE
T00190,2026-02-01T20:23:03.199Z,Pastry,4.65,1,FALSE
T00191,2026-01-23T06:23:23.050Z,Merch,25.71,1,TRUE
T00192,2026-03-01T19:42:34.533Z,Pastry,5.00,1,FALSE
T00193,2025-12-15T14:53:59.187Z,Pastry,4.21,1,FALSE
T00194,2026-02-13T12:24:34.694Z,Pour Over,5.80,1,FALSE
T00195,2026-01-21T22:29:20.446Z,Pour Over,4.81,4,FALSE
T00196,2026-01-25T14:41:08.032Z,Pour Over,5.65,1,TRUE
T00197,2026-01-05T03:14:39.762Z,Espresso,3.06,3,FALSE
T00198,2026-01-16T17:58:21.499Z,Espresso,3.59,2,TRUE
T00199,2026-02-10T12:35:08.730Z,Merch,25.40,2,FALSE
T00200,2025-12-16T08:37:34.409Z,Cold Brew,4.01,3,FALSE
T00201,2026-03-05T23:05:49.628Z,Pour Over,5.27,1,FALSE
T00202,2025-12-09T18:34:41.022Z,Pour Over,5.29,1,TRUE
T00203,2026-02-05T21:04:41.128Z,Espresso,4.40,1,FALSE
T00204,2026-02-24T20:54:06.028Z,Espresso,3.26,3,FALSE
T00205,2026-03-08T04:14:14.674Z,Cold Brew,5.28,1,FALSE
T00206,2026-01-10T21:04:34.132Z,Pour Over,4.62,2,FALSE
T00207,2026-01-24T12:55:27.086Z,Espresso,3.61,1,FALSE
T00208,2026-01-19T05:49:38.309Z,Cold Brew,4.22,3,FALSE
T00209,2026-01-08T05:25:37.490Z,Cold Brew,4.88,1,TRUE
T00210,2026-03-06T00:10:56.274Z,Espresso,3.75,1,FALSE
T00211,2025-12-20T20:32:54.116Z,Merch,25.37,1,TRUE
T00212,2025-12-28T17:00:30.580Z,Pour Over,5.40,2,FALSE
T00213,2026-02-21T02:01:31.999Z,Pour Over,5.63,2,FALSE
T00214,2026-01-02T02:57:42.606Z,Cold Brew,4.68,1,FALSE
T00215,2026-01-12T09:57:10.039Z,Merch,25.93,2,FALSE
T00216,2026-01-04T15:27:22.833Z,Espresso,3.37,4,FALSE
T00217,2026-01-28T02:54:27.534Z,Pour Over,5.28,1,FALSE
T00218,2026-02-16T11:39:38.929Z,Merch,25.92,2,FALSE
T00219,2026-02-19T15:52:07.922Z,Cold Brew,4.29,3,FALSE
T00220,2025-12-24T14:19:23.862Z,Espresso,3.71,2,FALSE
T00221,2026-02-22T18:32:18.828Z,Pour Over,4.54,2,TRUE
T00222,2025-12-24T06:55:44.169Z,Cold Brew,4.12,4,TRUE
T00223,2026-01-17T20:56:57.851Z,Pastry,4.33,2,FALSE
T00224,2026-02-14T07:53:43.587Z,Merch,25.68,1,FALSE
T00225,2025-12-28T03:33:38.640Z,Cold Brew,4.62,2,FALSE
T00226,2025-12-15T03:26:25.962Z,Pour Over,4.73,2,FALSE
T00227,2026-02-05T13:42:34.566Z,Espresso,3.54,2,FALSE
T00228,2026-03-08T18:57:14.103Z,Cold Brew,4.13,4,FALSE
T00229,2026-02-28T16:02:19.835Z,Cold Brew,4.91,2,FALSE
T00230,2025-12-22T08:00:18.011Z,Merch,24.78,2,FALSE
T00231,2026-01-18T09:47:34.215Z,Cold Brew,4.67,2,FALSE
T00232,2026-02-15T03:14:13.295Z,Merch,25.52,2,FALSE
T00233,2026-01-25T10:57:36.994Z,Espresso,4.01,1,FALSE
T00234,2025-12-28T18:48:20.201Z,Pour Over,4.54,4,FALSE
T00235,2025-12-17T06:35:30.500Z,Pastry,4.72,2,FALSE
T00236,2025-12-10T20:15:18.740Z,Cold Brew,4.31,4,FALSE
T00237,2026-03-04T02:37:23.965Z,Cold Brew,4.46,4,FALSE
T00238,2025-12-16T17:32:36.740Z,Cold Brew,4.76,1,FALSE
T00239,2025-12-12T05:16:35.417Z,Pour Over,5.57,1,FALSE
T00240,2026-01-09T05:43:26.070Z,Pastry,3.94,3,FALSE
T00241,2026-02-12T14:11:02.609Z,Cold Brew,4.04,4,TRUE
T00242,2026-01-18T08:23:07.640Z,Pastry,4.72,1,FALSE
T00243,2025-12-11T05:51:11.604Z,Pastry,4.76,1,FALSE
T00244,2026-03-08T07:33:33.500Z,Cold Brew,5.12,2,FALSE
T00245,2026-02-19T13:46:21.331Z,Merch,25.35,1,FALSE
T00246,2026-02-26T09:15:50.973Z,Cold Brew,5.20,2,TRUE
T00247,2026-03-06T03:23:30.773Z,Pour Over,5.98,2,TRUE
T00248,2025-12-09T17:23:47.550Z,Cold Brew,4.45,4,FALSE
T00249,2026-02-21T20:37:13.263Z,Pastry,4.46,1,FALSE
T00250,2026-02-01T14:10:40.744Z,Pastry,4.58,1,TRUE
T00251,2026-03-08T15:00:19.617Z,Pour Over,4.58,2,FALSE
T00252,2026-02-03T02:22:31.664Z,Espresso,3.92,1,TRUE
T00253,2025-12-09T07:03:33.549Z,Merch,26.00,2,FALSE
T00254,2025-12-14T18:49:58.715Z,Merch,25.31,1,FALSE
T00255,2026-02-05T05:52:08.207Z,Cold Brew,5.33,2,TRUE
T00256,2026-01-27T10:13:50.851Z,Pour Over,5.76,2,FALSE
T00257,2026-02-03T21:40:35.652Z,Cold Brew,4.05,4,FALSE
T00258,2026-01-18T21:32:42.871Z,Cold Brew,5.12,1,FALSE
T00259,2026-01-20T09:55:19.948Z,Pour Over,5.08,1,FALSE
T00260,2026-01-22T09:15:59.252Z,Merch,25.80,2,FALSE
T00261,2026-01-24T12:24:22.467Z,Merch,24.82,3,FALSE
T00262,2026-02-02T18:10:33.728Z,Merch,25.00,3,FALSE
T00263,2026-01-09T18:17:20.960Z,Espresso,3.75,2,TRUE
T00264,2026-01-15T04:15:48.105Z,Pour Over,5.14,2,FALSE
T00265,2026-02-24T14:36:06.025Z,Espresso,3.81,2,FALSE
T00266,2026-01-22T03:41:31.154Z,Espresso,3.83,2,FALSE
T00267,2026-02-17T18:46:23.276Z,Espresso,3.91,1,TRUE
T00268,2026-01-14T10:01:26.209Z,Pastry,4.99,1,FALSE
T00269,2025-12-09T10:45:08.207Z,Espresso,3.63,1,FALSE
T00270,2026-01-24T17:54:37.067Z,Espresso,3.08,2,FALSE
T00271,2026-03-01T15:27:57.273Z,Merch,25.45,2,TRUE
T00272,2026-02-20T00:38:46.498Z,Merch,24.91,3,FALSE
T00273,2026-03-05T23:34:02.208Z,Pour Over,4.99,2,FALSE
T00274,2026-01-13T09:21:07.499Z,Pour Over,5.58,2,FALSE
T00275,2025-12-11T10:47:21.848Z,Pour Over,5.73,2,FALSE
T00276,2026-02-03T20:27:09.155Z,Pastry,4.76,1,FALSE
T00277,2026-01-20T15:14:58.898Z,Merch,25.84,2,FALSE
T00278,2026-02-28T02:16:52.598Z,Pour Over,5.50,2,FALSE
T00279,2026-02-06T01:37:48.904Z,Espresso,3.42,2,FALSE
T00280,2025-12-28T17:26:11.227Z,Pour Over,5.29,1,FALSE
T00281,2026-01-03T18:38:39.899Z,Espresso,3.37,3,FALSE
T00282,2026-02-08T13:20:18.600Z,Pour Over,4.52,4,FALSE
T00283,2026-01-16T10:44:04.870Z,Cold Brew,4.33,4,FALSE
T00284,2026-01-11T00:42:21.921Z,Pastry,4.10,1,TRUE
T00285,2026-01-06T08:07:55.711Z,Espresso,3.55,2,FALSE
T00286,2026-01-08T00:39:13.573Z,Cold Brew,4.70,1,FALSE
T00287,2025-12-29T22:27:37.060Z,Pour Over,5.68,2,FALSE
T00288,2026-02-10T03:16:57.894Z,Cold Brew,4.57,1,FALSE
T00289,2026-02-08T01:16:06.473Z,Espresso,3.97,2,TRUE
T00290,2026-02-02T05:55:57.373Z,Pastry,4.85,1,FALSE
